Country;Region;C_T;Status;PR;CL;Total
Sao Tome and Principe;SSA;c;F;35;49;84
Saudi Arabia;MENA;c;NF;1;6;7
Senegal;SSA;c;PF;29;42;71
Serbia;Europe;c;PF;23;43;66
Seychelles;SSA;c;PF;29;43;72
Sierra Leone;SSA;c;PF;28;37;65
Singapore;Asia;c;PF;19;31;50
Slovakia;Europe;c;F;36;52;88
Slovenia;Europe;c;F;39;55;94
Solomon Islands;Asia;c;F;30;49;79
Somalia;SSA;c;NF;1;6;7
Somaliland;SSA;t;PF;17;24;41
South Africa;SSA;c;F;33;46;79
South Korea;Asia;c;F;33;50;83
South Ossetia;Eurasia;t;NF;2;8;10
South Sudan;SSA;c;NF;-2;4;2
Spain;Europe;c;F;38;54;92
Sri Lanka;Asia;c;PF;23;33;56
St. Kitts and Nevis;Americas;c;F;36;53;89
St. Lucia;Americas;c;F;38;54;92
St. Vincent and the Grenadines;Americas;c;F;36;55;91
Sudan;SSA;c;NF;2;10;12
Suriname;Americas;c;F;32;43;75
Sweden;Europe;c;F;40;60;100
Switzerland;Europe;c;F;39;57;96
Syria;MENA;c;NF;-3;3;0
Taiwan;Asia;c;F;37;56;93
Tajikistan;Eurasia;c;NF;0;9;9
Tanzania;SSA;c;PF;17;23;40
Thailand;Asia;c;PF;6;26;32
The Gambia;SSA;c;PF;20;26;46
Tibet;Asia;t;NF;-2;3;1
Timor-Leste;Asia;c;F;32;39;71
Togo;SSA;c;PF;16;28;44
Tonga;Asia;c;F;30;49;79
Transnistria;Eurasia;t;NF;9;13;22
Trinidad and Tobago;Americas;c;F;33;49;82
Tunisia;MENA;c;F;32;38;70
Turkey;Europe;c;NF;16;16;32
Turkmenistan;Eurasia;c;NF;0;2;2
Tuvalu;Asia;c;F;37;56;93
Uganda;SSA;c;NF;11;23;34
Ukraine;Eurasia;c;PF;27;35;62
United Arab Emirates;MENA;c;NF;5;12;17
United Kingdom;Europe;c;F;39;55;94
United States;Americas;c;F;33;53;86
Uruguay;Americas;c;F;40;58;98
Uzbekistan;Eurasia;c;NF;2;8;10
Vanuatu;Asia;c;F;33;49;82
Venezuela;Americas;c;NF;2;14;16
Vietnam;Asia;c;NF;3;17;20
West Bank;MENA;t;NF;4;21;25
Western Sahara;MENA;t;NF;-3;7;4
Yemen;MENA;c;NF;1;10;11
Zambia;SSA;c;PF;22;32;54
Zimbabwe;SSA;c;PF;12;17;29
